Freq,Data
0,0.11098173378643968
1,0.1384311499939246
2,0.06080518461829996
3,0.09438655062939322
4,0.18196733258575284
5,0.06336130477652947
6,0.3985736113695684
7,0.16217889205038408
8,0.16566545300559934
9,0.17642068415859144
10,0.2802130647116226
11,0.29107355874922486
12,0.012530909625432607
13,0.1683804758532295
14,6.918336012742486
15,1.3838206349836515
16,0.11084077495996796
17,0.9746284707927431
18,0.06909621663869132
19,0.14521981963846942
20,0.18205593125232902
21,0.03505934003918742
22,0.048983528320167
23,0.05707339997354918
